,playlist id,playlist name,positon,add date,description,official,followers
85,4JBsiDEfiyvSEeMcX1hwdt,TikTok Hits 2020 | TikTok Songs & Trends | TikTok Sverige 🇸🇪,4,2020-09-29,"TikTok songs that you love! Årets största TikTok-hits samlade i en spellista. Här finns låtarna bakom danserna, trenderna och challenges! TikTok Hits 2020 - TikTok Charts - TikTok Music - TikTok Songs | Coño | Banana | Savage | Play Date | Jason DeRulo",False,18344
86,37i9dQZEVXbKM896FDX8L1,Ireland Top 50,10,2020-09-29,Your daily update of the most played tracks in Ireland right now.,True,226027
87,6Qf2sXTjlH3HH30Ijo6AUp,100 Uplifting Songs,2,2020-09-29,"100 uplifting and happy songs to get you smiling, put a spring in your step &amp; lift your mood",False,513811
88,37i9dQZEVXbJPcfkRz0wJ0,Australia Top 50,7,2020-09-29,Your daily update of the most played tracks in Australia right now.,True,759096
89,2CLV6UpP8aFcgqcBSGcNZE,Canciones de TikTok,3,2020-09-29,"¡Encuentra todas las canciones de tus challenges, retos y coreografías favoritas de TikTok! En portada: Cardi B y Megan Thee Stallion.",False,13307
90,16wsvPYpJg1dmLhz0XTOmX,USA Top 50,11,2020-09-29,USA Top 50 🎯 United States Top 50. Updated daily. Top 50 USA. El top 50 de Estados Unidos. Aux États-Uni.,False,36222
91,4e0CI6Ki6BqAE7BBZnvl6S,USA TOP 50,25,2020-09-29,Top records in the country.,False,43300
92,37i9dQZEVXbLRQDuF5jeBp,United States Top 50,6,2020-09-28,Your daily update of the most played tracks in United States right now.,True,3321768
93,3SXSmC5Y33JwljGQrGSRWA,TikTok Songs 2020 | TikTok Hits,1,2020-09-28,"All the TikTok songs, all the time. Every Tik Tok 2020 UK viral hit | TikTok dances 2020. TikTok songs you can’t get out of your head! Summer 2020 Tik Tok charts | TikTok dances UK Summer Tik Tok hits!",False,34184
94,4hiQvXxxJJqsWNVlMkaERP,TikTok Biggest Hit Songs,1,2020-09-28,Biggest viral Tik Tok hits - Tik Tok Songs - Tik Tok 2020 - Tik Tok Charts - Fall 2020 Tik Tok Songs,False,184279
95,70zigMLHC6xxayqgePLGyA, TIKTOK SONGS YOU LOVE ⏳⏳,322,2020-09-28,"tiktok songs, tik tok songs, tiktok playlist, tik tok playlist, tiktok bangers, tik tok bangers, tiktok trends, tik tok trends, tik tok bops, tiktok bops, tik tok music, tiktok music, tik tok hits, tiktok hits, Follow us on insta @3LPresents",False,155249
96,37i9dQZEVXbM8SIrkERIYl,New Zealand Top 50,5,2020-09-27,Your daily update of the most played tracks in New Zealand right now.,True,202142
97,6KYJ17PEQ1af7rvyCNnswy,Clásicos,3,2020-09-23,Clásicos que han inspirado a más de una generación. En portada: Led Zeppelin.,False,22814
98,7y15TCWmOoqxeYyiALg775, Old but gold 💛,837,2020-09-06,,False,48136
99,0WvTLRAGBHjTMj70Xrrby3,All Out Legacy,296,2020-09-05,"From the birth of Rock ’n’ Roll to hippies and Woodstock to soul, disco, rock, funk, punk, new wave to the diverse 80’s, to boy bands, girl groups, grunge, pop, r &amp; b, hip hop and to the years that drove electronic music and indie rock into mainstream. This is for the real music lover",False,29492
